text_a	text_b	label
你第一次听到筷子兄弟的老男孩是什么时候	筷子兄弟父亲是什么时候出的	0
彼此用广东话怎么说	广东话我是谁怎么说	0
我的世界手机村庄怎么寻	我的世界手机版村庄怎么找	1
沉甸甸的反义词是什么	沉甸甸反义词对什么	1
孔子的道德思想核心是什么？	孔子的政治思想核心是什么	0
电动车可以随火车托运吗？	电动车可以在火车上托运吗	1
吴亦凡喜欢什么水果	大家都喜欢抽什么烟	0
生日贺卡怎么做	生日贺卡该怎样做	1
求下面图片美女名字？	求图片中美女的名字！	1
给我个性签名励志的	励志个性签名	1
形容水非常大的成语	形容人非常多的成语有哪些	0
能组什么词	戳和戮分别能组什么词	0
吃牛排怎么拿刀叉	吃好牛排刀叉怎么放	0
谁知道这个头像出自什么动漫？	谁知道这个头像出自哪个动漫？	1
谁知道她的名字	谁知道名字	0
怎样使自己的手机死机	怎样让对方手机死机	0
您的情况建议您按照小二的提示操作就可以了.	很抱歉您的情况目前没有其他的办法.只能建议您按照邮件的提示操作一下.	0
用一句话概括	用一句话概括自己	0
梦见鞋是什么意思？	梦见鞋是什么意思	1
如何才能唱歌不跑调！	怎么唱歌能不跑调	1
唐诗宋词元曲明清的是什么	唐诗宋词元曲明清是什么	1
吃什么补气血	喝什么汤补气血？	0
洛克王国格兰球在哪	洛克王国格兰球	1
哔哩哔哩动画怎么注册啊	哔哩哔哩动画怎么注册	1
男士皮带什么牌子好呢	男士皮带什么牌子好	1
谁用过伊然美丽？	伊然美丽怎样？谁用过？	1
谁能详细介绍一下安徽财经大学的情况？	安徽最好的律师是谁介绍一下，	0
梦见石棺材是什么意思	梦见棺材盖好了是什么意思	0
愿天下有情人终成眷属	祝天下有情人终成眷属。	1
是阴虚还是阳虚？	阴虚还是阳虚？	1
怎样练身体协调性	身体协调性如何练习？	1
一部很老的美剧叫什么名字	寻找一部电影叫什么名字？	0
怎么申请腾讯博客	腾讯博客怎么申请	1
流连忘返的意思是什么	流连忘返是什么意思？	1
您现在是需要取消宝令还是什么呢	您先不要着急，请问支付宝的账户是什么？	0
什么字有纟旁和艹字头	爪字头的字与什么有关	0
腰椎间盘突出挂什么科	腰椎间盘突出穿什么鞋	0
现在的男生都流行什么发型呀	现在的男生都流行什么发型？	1
有什么听歌的好软件	什么听歌软件好用？	1
夏天戴什么帽子	什么颜色的针织帽子百搭	0
动物的社会行为	动物们的社会行为	1
我该为朋友怎么过生日	一个好朋友过生日，该怎么制造生日惊喜	1
第二次买家电下乡补贴怎么领？	现在购买家电下乡产品怎么办理补贴？	0
送男朋友小礼物可以是什么	送男朋友送什么礼物好？	1
什么牌子的摩托车好？	摩托车什么牌子的好	1
您点击查看交易记录我看一下，亲。	您好您登陆您的支付宝账户点击交易记录查看下是否有交易的情况	0
房地产公司人力资源工作具体做什么的	房地产公司的市场专员具体是什么工作	0
功夫派猴子最好的装备是什么？	功夫派猴子的最终武器是什么	1
手机在哪里签到？	手机可以签到吗？	0
手抄报怎么写小学的英语	小学英语手抄报怎么做	1
长方形的面积怎么求的	长方形占地面积怎么求	1
20年内最经典的爱情电影是哪几部？	亲,哪里有20部经典经济类电影下载地址	0
您的这个情况，建议您联系淘宝客服咨询一下。	您的情况建议您联系淘宝客服咨询一下.	1
什么香烟网最好？	什么牌香烟最好	0
什么下电影最好	什么电影最好笑	0
右眼角下的泪痣代表什么。	右眼角上眉毛下长痣代表什么	0
我的世界为什么种不蘑菇	我的世界如何去蘑菇岛	0
找工作在哪里聋哑人！	聋哑人该找什么工作？	1
我的那一片天空	我有一片天空	1
桂林西瓜霜怎么用	桂林西瓜霜怎么喷	1
作文春节见闻	关于春节见闻的作文	1
手机怎么给图片涂鸦？	oppo手机图片涂鸦怎么用	1
有什么好看的电影吗？推荐一下？	有什么好看电影推荐一下	1
什么花的蜂蜜最好	蜂蜜配什么喝最好	0
歇后语：老虎挂佛珠—	老虎挂念珠	1
全民枪战里的人怎么飞？	全民枪战的人怎么飞	1
小孔雀鱼吃什么？	孔雀鱼吃什么	1
怎样下载天天酷跑老版本	天天酷跑老版本怎样下载	1
这是什么香水？	这是什么香水？多少钱？	1
银行理财产品和余额宝哪个收益高	银行理财产品和余额宝哪个更安全	0
我真的很喜欢你。	我真的喜欢你爱你	0
湛江高铁什么时候开通广州	湛江到广州高铁什么时候开通	1
男人为什么喜欢吻女的脖子	男人为什么喜欢亲脖子	1
分享迅雷会员账号	迅雷会员账号分享。	1
请问您的支付宝的手机客户端是8.5版本的还是8.5版本以下的？	每个支付宝账户每日创建转账到卡的次数为100次（电脑端和无线端共享）	0
怎么样中的双色球大奖	怎样中双色球大奖	1
谁知道这种是什么字体	谁有知道这种字体，急，	1
一个地四个人打一成语	女人生孩子(打一个成语)	0
初中物理在线等	初中物理在线等！	1
安全套什么牌子好	什么牌子的安全套好	1
怎样去除黑头粉刺？	怎样去除黑头粉刺呢?	1
这个无线鼠标怎么用	无线鼠标怎么拆？	0
可以给您发送邮件您上传一下这个报错	这边给您发送邮件，您上传一下这个报错可以吗？	1
快递什么时候放假？	快递什么时候放假	1
怎么才能快速瘦脸？	怎样快速瘦脸	1
南京大学怎么样？	南京大学怎么样	1
老虎和鳄鱼哪个最厉害	鳄鱼跟老虎哪个厉害？	1
火车票为什么这么难买	为什么火车票这么难买？	1
麻烦稍微等待一下亲	麻烦你耐心的等待一下哦	1
波音的地址是什么呢？如何开户	波音的地址是什么呢？能开户么	1
哪个网站的小说最好下载？	最好在哪个网站下载小说	1
阅读：《冬季到台北来看雨》	《冬季到台北来看雨》的阅读答案	0
描写春天的好句好段	千足金好还是万足金好	0
何以笙箫默就那么火那么好看吗？	何以笙箫默好看吗	1
手抄报版面设计	手抄报版面设计。	1
什么牌子的男士西服比较好？	什么牌子的袜子质量好又实惠？	0
电脑不能在线听歌啊	电脑不能在线听歌了，	1
德国爱他美奶粉怎么样？说下？	德国爱他美奶粉怎么样？急！	1
捷达和新宝来那个合适？	新捷达和新宝来那个底盘高？	0
瓷肌的化妆品怎么样	瓷肌化妆品怎么样一	1
您购买的是在支付宝页面吗	不是的，是您的账户应用-网购还款的页面	0
冰箱的异味如何去除？	如何去除冰箱里面的异味？	1
谁能用圆通没网查下快递信息	圆通速递官方网，帮我查一下1076638682的物流	0
请问大家这是什么手镯？什么材质的？	请问这是什么衣服？什么材质？	0
这句话用日语怎么说	这句话日语怎么说呢？	1
天天酷跑经典模式267万是什么水平	天天酷跑里的穿越奖励是什么	0
剖腹产明星有哪些	哪些明星剖腹产	1
搜片神器怎么用啊	搜片神器怎么不可以用了	0
手机怎么下载通宝游戏	手机上怎么下载，通宝游戏？	1
怎样做生意才会赚钱呢	怎样在麻将上做记号呢？谁会呢？	0
薏米炒熟怎么吃	薏米怎么样才是炒熟	0
请问您是操作的转账到支付宝账户的，是吗？	支付宝之间的转账是立即到账的转出去后就是撤销退回不了的	0
哪个牌子的老年手机好	老年手机哪个牌子好	1
怎样减少电脑辐射？	如何减少电脑辐射？	1
多玩诛仙上的视频怎么下载	怎样下载视频？	0
哈尔滨都有什么地方好玩？	哈尔滨有什么好玩的地方	1
我遇到一个不要脸的女人，你说该怎么办	一个极度不要脸的女人该怎么骂才好	0
黑龙江的省会是哪里？	黑龙江的省会是哪里	1
甲鱼喜欢吃什么食物	甲鱼一般喜欢吃什么食物呢？	1
老湿视频作品全集	老湿的《走进李元芳》的字幕	0
这个小正太是谁啊	这个小正太是谁来着？	1
产后用收腹带好么	产后用收腹带好吗	1
疑惑不解的意思是什么？	疑惑不解的意思是什么	1
臭了的肉还可以吃吗？	猫鲨可以吃吗？	0
淘宝怎么取消退款	怎么取消淘宝退款	1
从沈阳北站到辽宁工业展览馆怎么走？	从辽宁工业展览馆到沈阳北站怎么走？	0
张碧晨爱你的宿命哪里能下载	张碧晨《爱你的宿命》歌词	0
辽宁号航母有多大	辽宁都市主持人都多大年龄	0
下巴上长痘痘是什么原因？	嘴下巴长痘痘是什么原因	1
微信附近人搜不到我怎么办	我玩微信别人在附近人搜不到我	0
请问这叫什么花？	请问这个叫什么？	0
怎么参加爸爸去哪儿？	爸爸去哪儿怎样参加？	1
天天爱消除怎么被封了	天天爱消除怎么玩	0
如何下载谷歌地图	怎样下载谷歌地图。	1
【电动牙刷哪个牌子好】	电动牙刷哪个牌子的好	1
死玻璃是什么意思啊	被人骂玻璃是什么意思	0
什么品牌的沙发好	买什么沙发品牌好	1
这是什么颜色！	这是什么颜色，什么卷？	0
世界上最大的岛屿是什么？	世界上最大的岛屿是什么	1
女生姓徐，取什么名字好听？	女生叫什么名字好听	1
称呼男朋友的昵称	对男朋友的昵称	1
雀斑可以治疗吗？	能治疗雀斑吗	1
求关于纳兰容若的小说	求纳兰容若小说	1
美国有什么花	美国有什么花？	1
卷发好看还是直发好看	卷发好看，还是直发好看呢？	1
一部搞笑的电影	关于一部搞笑电影	1
怎样用手机看片	怎么用手机看片	1
正方体的物体有哪些	正方体的物体有哪些？	1
这个是什么听歌软件？	听歌用什么软件好	1
地球的形状是？	星的山是小学语文课文吗	0
也谢谢你了，朋友	谢谢你了，朋友	1
史加一笔念什么	史加一笔是什么	0
桃花什么时候开花	桃花什么时候开花？	1
年糕怎么炒好吃呢	年糕怎样做好吃	1
非常了得好看吗	非常了得好看吗？	1
三星手机丢了怎么样找回？	三星手机丢了怎么找回?	1
房地产开发商担保贷款转房产抵押贷款流程	房地产开发贷款？	0
电脑qq怎么发语音消息？	电脑语音设置如何恢复	0
我的世界手机版村庄在哪。	我的世界手机版村庄在哪里？	1
这两个是什么石头	这两个是什么石头呢	1
百度知道怎样切换账号	这个百度知道怎么切换账号	1
抉择的意思是什么	抉择什么意思	1
20年代文学特征。要总概括的，300-500字左右	求世界文学简史的读后感！500字以上，谢谢	0
中国谁最帅	全中国谁最帅》？	1
我的微信号为什么给冻结了	微信号的密码忘了怎么办	0
阳历1988年1月26日是属什么的	1988年1月26日晚上九点出生的上升星座是什么	0
第三代身份证出来了	第三代身份证是什么样的	0
如何申请增值税专用发票	增值税专用发票可以开会务费么？	0
在拉萨怎样找工作？	现在找工作怎么这么难找	0
如何快速减掉小肚子上的肉	如何快速减去肚子上的肉	1
去哪里买溜溜球	小花仙的翅膀哪里买怎么买	0
石斑鱼怎么做才嫩	石斑鱼怎么做	1
梁的草书怎么写	只属于我的群的繁体字怎么写	0
请问这个女叫什么名字？	请问这个女叫什么名字	1
是的，小二不清楚的。	嗯嗯辛苦您了我会被您备注清楚的哈	0
如何修改银行卡密码？	银行卡的密码怎样修改	1
计算机二级证书重不重要啊？	计算机二级证书丢了，怎么办	0
电压力锅正确使用方法。	电压力锅使用要注意些什么？	0
日语我回来了怎么说	我回来了日语	1
恋恋不忘在哪里看全集	想看在网上看漫画应怎么办	0
不可能的哦	不可能的。	1
为什么男人总是好色？	男人为什么好色	1
我的退休工资该怎样计算	怎样计算离退休人员的退休工资	1
用什么防晒霜好	喝水用什么杯子好	0
微信撤回信息对方能看到吗	微信拉黑名单对方知道吗	0
亲，这是系统的设置，是人工无法更改的，请谅解	亲，对的，这是系统的设置，是人工无法更改的，请谅解	1
怎样让自己的头发变直？	怎么样让头发变直	1
龙虾片怎么做	龙虾怎么做？	0
如何网上买理财产品	网上银行可以买理财产品吗	0
中国农业银行手机银行怎么转账	手机银行怎么转账农业银行	0
心理学要学多久？	为什么要学心理学	0
这部是什么动画片	求这部动画片名…	1
林徽因的《你若安好便是晴天》	求：你若安好便是晴天：林徽因传	1
华夏艺术中心百度百科	天津市华夏未来少儿艺术中心详细地址？	0
话费充值卡怎么用？	手机上怎么交话费	0
美国的一部很老的动画片	一部美国动画片	1
什么洗发水去屑效果好？	什么洗发水去屑效果好啊	1
特别的反义词是什么？	反义词，特别对什么	1
苏宁和国美哪个好	苏宁和国美哪个好一些	1
高数题，求助！	高数题，求助	1
厦门那里可以社保卡套现	社保卡可以套现嘛！	0
张学良口述历史	张学良口述历史最后外编是假的吗	0
动物的社会行为有什么意义	动物的社会行为有哪些？	0
什么样的女人最好色	什么样的女人最好色?	1
上海有哪些好的艺术学校？	靠谱的招聘网站有哪些？	0
女朋友过生日送什么花？急！	女朋友过生日说什么好	1
什么才是王道？	什么是王道	1
欲钱买花圈是什么生肖	花圈里找指什么生肖	0
山西籍著名女歌手有谁	山西籍著名女歌手是谁	1
梦幻西游2怎么快速赚储备金2014	梦幻西游怎么赚储备金才快	0
怎样钩杯套图解	船怎么折图解	0
核磁共振可以用医保报销吗？	做核磁共振医保可以报销吗？	1
利仁电饼铛2008h东西熟了是自动停吗	利仁电饼铛下盘不加热了，是怎么回事？怎么维修	0
随心所欲的心欲是什么意思	随心所欲的随是什么意思	0
为什么我保存的图片找不到	图片保存后找不到	1
巴中明天天气怎样？	我是巴中的，明天天气如何？	1
简洁的反义词是什么啊？	简洁的反义词是什么	1
世界上最不值钱的货币是什么	世界上最不值钱的货币是什么？	1
恐怖的鬼故事	最恐怖的鬼故事	1
中国农业信息杂志是不是核心期刊	中国农业科技杂志	0
红豆粥怎么煮绿了	凉了的红豆派怎么热	0
我的世界怎么上火车	我的世界怎么让火车自己跑	0
夏天吃什么水果好呢？	什么水果夏天吃好(说2个)	1
心安是什么意思	顾我心安是什么意思	0
天天酷跑如何刷积分？	天天酷跑怎样刷积分	1
找爱情动作片	求爱情动作片、、、	1
求张柏芝全集。	求张柏芝全集	1
中长发什么发型好看	有什么好看的长发发型可以梳？	0
喜洋洋和灰太狼全集下载	哪里能下载喜洋洋与灰太狼全集	1
广州搬家公司哪家最好啊？	公司要搬家，哪家搬家公司好	0
我的世界小黑怕什么	我的世界小黑塔哪里错了	0
怎样在天猫上开网店啊	天猫怎么开网店	1
信用卡充值支付宝要手续费吗	支付宝信用卡还款要手续费吗	0
上课玩手机写检讨书	上课玩手机被抓的检讨书	1
那一年，我们一起追过的女孩	求那一年我们一起追过的女孩，	1
怎么快速长胡子	怎样才可以快速长胡子？	1
在家创业选什么项目好？	在家创业啥项目比较好	1
谁知道此女名字	求知道此女名字	1
我是歌手谁被淘汰了？	我是歌手第三季谁被淘汰了	1
如何用光影魔术手制作日历？	如何用光影魔术手制作闪图？	0
如何破解手机开机密码？	如何手机破解开机密码？	1
如何提高气质	如何提高自身气质	1
关于寓言故事的成语	来自寓言故事的成语有哪些	1
您这个操作是进行的银行卡快捷支付的开通操作吗？还是绑定银行卡的操作呢？	支持收银台：仅支持在极简收银台和H5收银台使用，无法在老版收银台使用	0
时空猎人忘记哪个区了	时空猎人忘记那个区了。	1
这是哪里，什么国家	这是哪个国家钱	0
怎么扎马尾辫好看	马尾辫怎么梳好看	1
您同意后，小二马上为您转接，不要离开页面，很快的，可以吗	抱歉，没办法指定转接，马上为您查询刚才的记录，可能需要两分钟，请您稍等。	0
我的心机黑面膜好吗	我的心机面膜	1
你的信仰是什么！	你的信仰是什么	1
这样的脸型适合什么发型？	这样的脸型适合什么发型啊	1
谁能告诉我戏曲在哪里下载啊	在哪里能下载戏曲，地方戏曲	1
男生染什么颜色的头发好看？	什么脸型配什么样的发型才好看	0
怎么样的女人男人最喜欢？	男人喜欢怎么样的女人	1
怎么买到打折的机票？	怎么才能买到打折机票	1
手机充电宝什么牌子好	手机充电保什么牌子好	1
现在有什么好的电视剧呀？	现在在看什么电视剧？	1
汽车单机游戏	汽车类单机游戏	1
时间笑我孤独像狗的繁体字怎么写	时间搁浅了谁,繁体字怎么写	0
春天喝什么汤好	春天吃什么汤好？	1
浙江卫视的相亲节目是什么？	浙江卫视的相亲节目叫什么	1
女人为什么爱养狗？	女人为什么爱养狗啊？	1
初二数学勾股定理	初二数学，勾股定理。	1
亲，先提供一下您转出的具体时间以及金额，方便我为您查询，辛苦您了！	请提供下具体金额和大体交易时间方便核实（请您不要退出查询，会断线哦）	0
有什么好玩的单机游戏么？嘿嘿，现在我好无聊呢	现在有没什么好的单机游戏适合我啊？	0
不期而至什么意思	不期而至是什么意思？	1
淘宝如何举报卖家	淘宝怎么可以举报卖家	1
这是什么动漫里面的啊	这是什么动漫啊？	1
天涯党什么意思	天涯是什么意思？	0
帮孩子起个名	帮孩子起个好名	1
这是什么品牌？	品了没。这是什么品牌	1
保护环境的标语	保护环境标语	1
怎么让一个不喜欢你的人喜欢你	爱我别走如果你说你不爱我什么歌	0
什么歌适合做手机铃声	什么歌适合手机铃声？	1
宝宝肠胃不好怎么调理	宝宝肠胃不好，怎么调理	1
为什么我的支付宝没有花呗？	为什么我的支付宝没有花呗呢	1
现在的火车票怎么那么难买啊	现在的火车票怎么这么难买	1
起一个情侣网名	想一个情侣网名	1
厚嘴唇如何变薄	如何使厚嘴唇变薄？	1
气吞山河指什么生肖？	气吞山河是什么生肖？	1
如何下载到高清中国地图	如何下载中国高清地图	1
一尘不染的意思是什么？	一尘不染是什么意思	1
这句英文什么意思？	这句英文，什么意思？	1
怎么修改支付宝账户名	如何修改支付宝账户	1
写出下列词语的反义词，急！	写出下列词语的反义词。	1
想问下这是什么猫？	问下这俩只是啥花	0
想找跟这个一系列图片	求与这图片同一系列的套图	1
杭州苏瑅到乌镇怎么坐车	杭州桐庐到乌镇怎么坐车	0
符号君什么意思	这个符号是什么意思？	0
每天早上起来肚子疼	每天早上起床之后肚子疼	1
现在旅游去哪最好	现在去哪旅游最好呢？	1
射钉弹哪里卖	哪里能买到射钉弹	1
并非一部牛仔电影	最后一部电影	0
谁有匆匆那年电影的链接	匆匆那年电影链接谁有	1
纹在田字格里怎么写	帆在田字格里怎么写	0
胜在字典里是什么意思？	钰这个在字典里是什么意思？	0
什么牌子的洗衣粉好？	那个牌子的洗衣粉最好？	1
跑狼山地车是什么架的	山地车副把有什么用	0
有没有姓禾的人	有没有好的贴吧	0
怎么在淘宝开网店？	怎么在淘宝开网店	1
这件事让我感动	老师让穿高跟鞋的！	0
手机无法录制视频？	手机录制视频，一次能录多长时间	0
无孔不入的生肖是什么	无孔不入是什么生肖？	1
今天阴历多少号？	今天是农历多少号	1
小石头是什么	这小石头是什么	1
词语接龙，少可以组什么词？	清可以组什么词语接龙	0
常州特产有什么呢	常州有什么特产	1
纪念碑谷这里怎么走	纪念碑谷…这关要怎么玩	1
两涘渚崖之间的之是什么意思	虹之间什么意思？	0
贴吧怎么快速升级	贴吧如何快速升级	1
求一个福利吧的邀请码	求福利吧邀请码！	1
新疆特产是什么	新疆特产是什么？	1
被爆菊花是什么感觉	捅菊花是什么感觉呢	0
解梦，同时梦见猫和狗	解梦梦见被狗咬	0
亚马逊购物怎么样啊	亚马逊网购物怎么样？	1
洛克王国怎么快速升级！	洛克王国怎样快速升级？	1
文字少一点是什么成语	显还有手下面是脚什么成语	0
三国战记之乱世枭雄哪下载呀	三国战记乱世枭雄下载	1
求南遥的漫画丫！	求南遥漫画全部	1
北京哪里有卖竹编工艺品的？	漆器工艺品北京哪里有卖的？	0
一人在内。(打一字)	()里用反义词，谢谢了！	0
梦见自己掉进厕所，	梦见自己掉厕所了	1
工商银行卡被锁了	工商银行卡号	0
请问这个是什么虫子呢？	请问这个是什么虫子啊？	1
请问您家人的姓名是？	请问您是账户本人吗？(＾?＾）	0
在家带孩子怎么兼职	在家带孩子。想兼职。	1
我时空猎人号被盗怎样找回	时空猎人号被盗了，怎样找回	1
您的账户是没有这笔支出的。	亲，您账户的话是没有这笔收入的呢	0
天天飞车怎么样刷金币的	天天飞车怎么刷金币快	1
请问这个女主播叫什么名字？	请问这个小孩叫什么名字？	0
脸上黑头粉刺很多怎么去除	脸上的黑头粉刺怎么去除	1
现在流行什么颜色的头发？	现在流行什么颜色得头发	1
广州周边有哪些地方好玩	广州明天有哪些地方好玩	0
什么牌子的钛钢手表好	手表什么牌子好男	0
模型解题法电子版下载	求模型解题法电子书版	1
哪些电影有激烈的床戏	有激烈床戏的电影有哪些	1
还不是这个账户的，您现在登录的是哪个账户？	无法登录分为两种情况：1.密码忘记，2.提示账户存在风险，或者异常	0
家电以旧换新还有吗	华联家电以旧换新还有吗？	0
给我女儿取个小名？	帮我女儿取个小名？	1
幼儿园学什么啊	幼儿园跳什么舞	0
谁知道这是什么软件？	我想知道这是什么软件	1
模型解题法怎么样?用了效果怎么样？	模型解题法有用吗？骗局是真的吗？	0
苹果手机用什么音乐播放器比较好?	苹果手机用什么音乐播放器好	1
我爱运动健身帝湖店怎么样	梨园我爱运动健身房倒闭了?	0
开学有什么需要准备的？	开学需要准备什么？	1
灌篮高手中谁是主角？	灌篮高手主角是谁	1
豌豆发芽了还能吃吗	白豌豆掉点皮还可以发芽吗	0
如何治疗偏头痛	偏头痛怎么治疗	1
买化妆品去哪个网站	哪个网站卖化妆品好？	1
肚子疼还想吐怎么回事	小肚子疼是怎么回事	0
怎样去除水壶里的水垢	水壶里的水垢如何去除	1
手机秒赞怎么下载？	那手机又如何下载呢	0
有什么很好玩的单机手游？	有什么好玩的单机手游	1
第一句话什么意思？	第一句是什么意思？	1
令我感动的一个人	一个令我感动的人	1
东芝的笔记本质量怎么样?	东芝笔记本质量怎么样	1
降血糖吃什么好	给宝宝补钙吃什么好？	0
为什么我上浩方玩魔兽进不了别人建的游戏	一个路由器的局域网玩魔兽，进不了别人建的游戏	0
我适合剪短头发吗	拍一拍就能知道自己适合的发型	0
支付宝是没有这个活动的哈	您好，就是这个账户是没有或者是还没有激活的。	0
网上在哪找女朋友	怎么在网上找女朋友？	1
亲查看下小闹钟里的退款提示哦	您在小闹钟里面查询了吗	0
成都简称什么！	成都的简称是什么？	1
这条裙子配什么鞋子好看？	这条裙子配什么鞋子好看	1
不是本人身份证可以办银行卡吗	拿别人的身份证可以办银行卡吗？	1
想找个VB的朋友学习?	想认识韩国朋友学习韩语	0
人生最大的财富是什么	人生中最大的财富是什么？	1
怎样炒核桃仁	核桃仁怎么吃	0
血液粘稠怎么办？血液粘稠吃什么好？	血液粘稠怎么办？血液粘稠吃什么调理好？	1
求《重生之豪门千金》顾长倾	求类似于《何以笙箫默》的小说	0
大童鞋有哪些品牌	童鞋有哪些品牌好	1
什么牌子的烤箱质量好	烤箱什么牌子的质量好？	1
孙子大传什么时候出	孙子大传什么时候播	1
有什么好听的劲爆舞曲，急	有什么好听的舞曲吗	1
百度一下你就知道	百度一下就知道	1
北京工作好找吗	北京好找工作吗	1
男人最在乎女人什么?	女人最在乎男人什么？	0
西兰花搭什么菜炒着好吃	西兰花什么煮好吃？	1
中国人口什么时候才开始减少？	中国什么时候才能收复台湾？	0
怎么忘记一个爱的人	怎么才能忘记一个人	0
关于一部美国恐怖片	一部美国恐怖片，	1
天龙八部好玩么？	新天龙八部好玩么？	1
如何使用豆浆机打果汁	有谁懂如何用豆浆机榨果汁	1
一般的家常菜谱	一些家常菜谱	1
葫芦丝哪里有卖	哪里有葫芦丝卖	1
怎么做瓦罐面？	瓦罐面怎么做	1
男生怎么围围脖好看呢？	男生厚围巾怎么围好看	1
金华火腿怎么吃	金华火腿怎么做？	0
最便宜的国际机票	很便宜的国际机票	1
孕妇能吃石榴吗？	孕妇能吃石榴籽吗	1
玉溪周边有什么好玩的地方？	玉溪有什么好玩滴地方？	0
关于导游证	卖蒜叟文言文阅读	0
移动宽带和联通宽带哪个好啊	联通宽带和移动宽带哪个好	1
肾阴虚怎么调理？	肾阴虚怎么调理	1
今年流行什么款式的包包呢？	今年流行什么的包包款式。女的。	0
北京现代的车怎么样	北京现代怎么样	1
有什么办法能让男人变得更持久更大	有什么办法可以让男人更持久一点射出去	0
怎么样让电表不转	怎样使电表不转	1
最近流行的歌曲是什么	最近流行什么歌曲？	1
晶弘冰箱好不好	晶弘冰箱保修几年	0
先锋影音手机版怎么看片	影音先锋手机版怎么用？怎么看片	1
农行目前两小时到账服务是暂停的，所以是下个交易日到账的。	因农行目前是暂停两小时到账服务的，所以是下个交易日到账的。	1
星游记第二季什么时候出	星游记什么时候出第二季？	1
中山有什么地方好玩的？	中山有什么好玩的地方？	1
冰糖炖梨吃了治咳嗽吗？	冰糖炖梨可以治咳嗽吗？	1
有那些关于夏天的成语	关于夏天的成语哪些	1
小河像什么？	小河像什么一样	1
离线地图怎么下载？	怎么用地图导航？	0
哪个国家的国歌最长?	上帝保佑女王是哪个国家的国歌	0
拉杆箱什么材质好	什么材质的拉杆箱好	1
你这么有才你家里人知道吗？	你这么叼，你家里人知道么？	0
